Method,Batch,Mean Hypervolume,Std Hypervolume
random,0,0.06728782682174776,0.03614207217005488
random,1,0.1034600709733852,0.025354894841659
random,2,0.11421734471808649,0.025859884820606742
random,3,0.1610141312937337,0.024563834734904397
random,4,0.1863998555765618,0.023843941364041627
random,5,0.2128232662989602,0.016387686172447496
random,6,0.21573085763131897,0.017759227058834804
random,7,0.22275209993862305,0.019100933072929822
random,8,0.2241226419328861,0.018208798150148482
random,9,0.22618219231126996,0.015899309494082563
random,10,0.2322114081617289,0.016929973058335768
qparego,0,0.06728782682174776,0.03614207217005488
qparego,1,0.07884847782516768,0.03417749394466244
qparego,2,0.09886382254304298,0.05216629590566286
qparego,3,0.11849627587137021,0.04264956445537936
qparego,4,0.14248792854514655,0.06665840370629737
qparego,5,0.19572407169747158,0.060020675008352994
qparego,6,0.24690009428605153,0.0743765697152896
qparego,7,0.2947377792774962,0.054748999112081996
qparego,8,0.3393867354806558,0.016056181828198204
qparego,9,0.3555441066769125,0.00935226752450928
qparego,10,0.3654412102799551,0.004686482162868674
qehvi,0,0.06728782682174776,0.03614207217005488
qehvi,1,0.06772993665973816,0.03619399177722874
qehvi,2,0.07867016927536216,0.04660393720628594
qehvi,3,0.09709332205150285,0.057167998705526364
qehvi,4,0.15327808005667523,0.07531417180734619
qehvi,5,0.22415916947170986,0.05506874387679811
qehvi,6,0.27713630515666365,0.0377017943603289
qehvi,7,0.3492066290423746,0.011008417186736673
qehvi,8,0.3728544731203735,0.0072121389203902535
qehvi,9,0.38732964441568046,0.0038384157910488453
qehvi,10,0.3936616670104716,0.0028701630261523487
qnehvi,0,0.06728782682174776,0.03614207217005488
qnehvi,1,0.06760107456391866,0.036176634898796384
qnehvi,2,0.07696893268393254,0.04388683989003658
qnehvi,3,0.11722844616468428,0.061468861983588315
qnehvi,4,0.17689850813553998,0.05017631173171035
qnehvi,5,0.2253914939454031,0.06478949496106254
qnehvi,6,0.29668990356081026,0.028070389719245012
qnehvi,7,0.34203236400074094,0.01869686291346919
qnehvi,8,0.373604268019759,0.008807018762410515
qnehvi,9,0.38758945832982394,0.0018472792205974278
qnehvi,10,0.3945521782422182,0.002203971563115819
